"province","date_vaccine_administered","avaccine","cumulative_avaccine"
"Ontario","17-12-2020",941,1916
"Ontario","18-12-2020",384,2300
"Ontario","19-12-2020",559,2859
"Ontario","20-12-2020",128,2987
"Ontario","21-12-2020",422,3409
"Ontario","22-12-2020",1841,5250
"Ontario","23-12-2020",3468,8718
"Ontario","24-12-2020",2038,10756
"Ontario","25-12-2020",302,11058
"Ontario","26-12-2020",0,11058
"Ontario","27-12-2020",169,11227
"Ontario","28-12-2020",1973,13200
"Ontario","29-12-2020",4848,18048
"Ontario","30-12-2020",555,18603
"Ontario","31-12-2020",4899,23502
"Ontario","01-01-2021",5373,28875
"Ontario","02-01-2021",4316,33191
"Ontario","03-01-2021",4360,37551
"Ontario","04-01-2021",4868,42419
"Ontario","05-01-2021",7611,50030
"Ontario","06-01-2021",10350,60380
"Ontario","07-01-2021",12251,72631
"Ontario","08-01-2021",14932,87563
"Ontario","09-01-2021",15700,103263
"Ontario","10-01-2021",9983,113246
"Ontario","11-01-2021",8859,122105
"Ontario","12-01-2021",11448,133553
"Ontario","13-01-2021",11231,144784
"Ontario","14-01-2021",14237,159021
"Ontario","15-01-2021",15609,174630
"Ontario","16-01-2021",14460,189090
"Ontario","17-01-2021",11007,200097
"Ontario","18-01-2021",9691,209788
"Ontario","19-01-2021",14346,224134
"Ontario","20-01-2021",13784,237918
"Ontario","21-01-2021",15899,253817
"Ontario","22-01-2021",11168,264985
"Ontario","23-01-2021",11161,276146
"Ontario","24-01-2021",4427,280573
"Ontario","25-01-2021",5537,286110
"Ontario","26-01-2021",9707,295817
"Ontario","27-01-2021",9513,305330
"Ontario","28-01-2021",11910,317240
"Ontario","29-01-2021",10215,327455
"Ontario","30-01-2021",9373,336828
"Ontario","31-01-2021",2816,339644
"Ontario","01-02-2021",2256,341900
"Ontario","02-02-2021",2715,344615
"Ontario","03-02-2021",3716,348331
"Ontario","04-02-2021",6724,355055
"Ontario","05-02-2021",7694,362749
"Ontario","06-02-2021",9917,372666
"Ontario","07-02-2021",6518,379184
"Ontario","08-02-2021",6987,386171
"Ontario","09-02-2021",12462,398633
"Ontario","10-02-2021",13486,412119
"Ontario","11-02-2021",14717,426836
"Ontario","12-02-2021",15605,442441
"Ontario","13-02-2021",14506,456947
"PEI","14-12-2020",0,0
"PEI","15-12-2020",0,0
"PEI","16-12-2020",140,140
"PEI","17-12-2020",204,344
"PEI","18-12-2020",0,344
"PEI","19-12-2020",0,344
"PEI","20-12-2020",0,344
"PEI","21-12-2020",0,344
"PEI","22-12-2020",1156,1500
"PEI","23-12-2020",0,1500
"PEI","24-12-2020",0,1500
"PEI","25-12-2020",0,1500
"PEI","26-12-2020",0,1500
"PEI","27-12-2020",0,1500
"PEI","28-12-2020",0,1500
"PEI","29-12-2020",0,1500
"PEI","30-12-2020",0,1500
"PEI","31-12-2020",450,1950
"PEI","01-01-2021",0,1950
"PEI","02-01-2021",0,1950
"PEI","03-01-2021",0,1950
"PEI","04-01-2021",0,1950
"PEI","05-01-2021",170,2120
"PEI","06-01-2021",0,2120
"PEI","07-01-2021",0,2120
"PEI","08-01-2021",1480,3600
"PEI","09-01-2021",0,3600
"PEI","10-01-2021",0,3600
"PEI","11-01-2021",0,3600
"PEI","12-01-2021",626,4226
"PEI","13-01-2021",0,4226
"PEI","14-01-2021",876,5102
"PEI","15-01-2021",0,5102
"PEI","16-01-2021",0,5102
"PEI","17-01-2021",0,5102
"PEI","18-01-2021",0,5102
"PEI","19-01-2021",808,5910
"PEI","20-01-2021",0,5910
"PEI","21-01-2021",615,6525
"PEI","22-01-2021",0,6525
"PEI","23-01-2021",0,6525
"PEI","24-01-2021",0,6525
"PEI","25-01-2021",0,6525
"PEI","26-01-2021",592,7117
"PEI","27-01-2021",0,7117
"PEI","28-01-2021",393,7510
"PEI","29-01-2021",0,7510
"PEI","30-01-2021",0,7510
"PEI","31-01-2021",0,7510
"PEI","01-02-2021",0,7510
"PEI","02-02-2021",346,7856
"PEI","03-02-2021",0,7856
"PEI","04-02-2021",481,8337
"PEI","05-02-2021",0,8337
"PEI","06-02-2021",0,8337
"PEI","07-02-2021",0,8337
"PEI","08-02-2021",0,8337
"PEI","09-02-2021",491,8828
"PEI","10-02-2021",0,8828
"PEI","11-02-2021",0,8828
"PEI","12-02-2021",311,9139
"PEI","13-02-2021",0,9139
"Quebec","14-12-2020",292,292
"Quebec","15-12-2020",0,292
"Quebec","16-12-2020",1156,1448
"Quebec","17-12-2020",941,2389
"Quebec","18-12-2020",901,3290
"Quebec","19-12-2020",715,4005
"Quebec","20-12-2020",716,4721
"Quebec","21-12-2020",115,4836
"Quebec","22-12-2020",502,5338
"Quebec","23-12-2020",1891,7229
"Quebec","24-12-2020",3942,11171
"Quebec","25-12-2020",0,11171
"Quebec","26-12-2020",3019,14190
"Quebec","27-12-2020",3392,17582
"Quebec","28-12-2020",2857,20439
"Quebec","29-12-2020",502,20941
"Quebec","30-12-2020",2739,23680
"Quebec","31-12-2020",3942,27622
"Quebec","01-01-2021",0,27622
"Quebec","02-01-2021",342,27964
"Quebec","03-01-2021",798,28762
"Quebec","04-01-2021",1711,30473
"Quebec","05-01-2021",2290,32763
"Quebec","06-01-2021",6221,38984
"Quebec","07-01-2021",9648,48632
"Quebec","08-01-2021",13970,62602
"Quebec","09-01-2021",12521,75123
"Quebec","10-01-2021",9264,84387
"Quebec","11-01-2021",8065,92452
"Quebec","12-01-2021",7058,99510
"Quebec","13-01-2021",7855,107365
"Quebec","14-01-2021",8339,115704
"Quebec","15-01-2021",11369,127073
"Quebec","16-01-2021",10783,137856
"Quebec","17-01-2021",8838,146694
"Quebec","18-01-2021",6845,153539
"Quebec","19-01-2021",10514,164053
"Quebec","20-01-2021",10207,174260
"Quebec","21-01-2021",11950,186210
"Quebec","22-01-2021",14417,200627
"Quebec","23-01-2021",9625,210252
"Quebec","24-01-2021",8503,218755
"Quebec","25-01-2021",1960,220715
"Quebec","26-01-2021",4164,224879
"Quebec","27-01-2021",4340,229219
"Quebec","28-01-2021",3767,232986
"Quebec","29-01-2021",3071,236057
"Quebec","30-01-2021",2086,238143
"Quebec","31-01-2021",84,238227
"Quebec","01-02-2021",796,239023
"Quebec","02-02-2021",1807,240830
"Quebec","03-02-2021",716,241546
"Quebec","04-02-2021",2409,243955
"Quebec","05-02-2021",4718,248673
"Quebec","06-02-2021",5231,253904
"Quebec","07-02-2021",2646,256550
"Quebec","08-02-2021",2638,259188
"Quebec","09-02-2021",3406,262594
"Quebec","10-02-2021",3996,266590
"Quebec","11-02-2021",5742,272332
"Quebec","12-02-2021",8280,280612
"Quebec","13-02-2021",10341,290953
"Saskatchewan","14-12-2020",0,0
"Saskatchewan","15-12-2020",11,11
"Saskatchewan","16-12-2020",0,11
"Saskatchewan","17-12-2020",239,250
"Saskatchewan","18-12-2020",301,551
"Saskatchewan","19-12-2020",0,551
"Saskatchewan","20-12-2020",0,551
"Saskatchewan","21-12-2020",734,1285
"Saskatchewan","22-12-2020",234,1519
"Saskatchewan","23-12-2020",78,1597
"Saskatchewan","24-12-2020",189,1786
"Saskatchewan","25-12-2020",0,1786
"Saskatchewan","26-12-2020",0,1786
"Saskatchewan","27-12-2020",0,1786
"Saskatchewan","28-12-2020",0,1786
"Saskatchewan","29-12-2020",585,2371
"Saskatchewan","30-12-2020",571,2942
"Saskatchewan","31-12-2020",516,3458
"Saskatchewan","01-01-2021",0,3458
"Saskatchewan","02-01-2021",264,3722
"Saskatchewan","03-01-2021",144,3866
"Saskatchewan","04-01-2021",147,4013
"Saskatchewan","05-01-2021",241,4254
"Saskatchewan","06-01-2021",270,4524
"Saskatchewan","07-01-2021",308,4832
"Saskatchewan","08-01-2021",1183,6015
"Saskatchewan","09-01-2021",949,6964
"Saskatchewan","10-01-2021",965,7929
"Saskatchewan","11-01-2021",1019,8948
"Saskatchewan","12-01-2021",932,9880
"Saskatchewan","13-01-2021",520,10400
"Saskatchewan","14-01-2021",1585,11985
"Saskatchewan","15-01-2021",2032,14017
"Saskatchewan","16-01-2021",2910,16927
"Saskatchewan","17-01-2021",3232,20159
"Saskatchewan","18-01-2021",2459,22618
"Saskatchewan","19-01-2021",1957,24575
"Saskatchewan","20-01-2021",2658,27233
"Saskatchewan","21-01-2021",2548,29781
"Saskatchewan","22-01-2021",1494,31275
"Saskatchewan","23-01-2021",1110,32385
"Saskatchewan","24-01-2021",654,33039
"Saskatchewan","25-01-2021",314,33353
"Saskatchewan","26-01-2021",727,34080
"Saskatchewan","27-01-2021",535,34615
"Saskatchewan","28-01-2021",57,34672
"Saskatchewan","29-01-2021",419,35091
"Saskatchewan","30-01-2021",148,35239
"Saskatchewan","31-01-2021",120,35359
"Saskatchewan","01-02-2021",88,35447
"Saskatchewan","02-02-2021",128,35575
"Saskatchewan","03-02-2021",188,35763
"Saskatchewan","04-02-2021",764,36527
"Saskatchewan","05-02-2021",2183,38710
"Saskatchewan","06-02-2021",2544,41254
"Saskatchewan","07-02-2021",0,41254
"Saskatchewan","08-02-2021",1733,42987
"Saskatchewan","09-02-2021",1534,44521
"Saskatchewan","10-02-2021",850,45371
"Saskatchewan","11-02-2021",892,46263
"Saskatchewan","12-02-2021",525,46788
"Saskatchewan","13-02-2021",1778,48566
"Yukon","14-12-2020",0,0
"Yukon","15-12-2020",0,0
"Yukon","16-12-2020",0,0
"Yukon","17-12-2020",0,0
"Yukon","18-12-2020",0,0
"Yukon","19-12-2020",0,0
"Yukon","20-12-2020",0,0
"Yukon","21-12-2020",0,0
"Yukon","22-12-2020",0,0
"Yukon","23-12-2020",0,0
